month,n_trades,pnl,n_wins,hit_rate
2024-02,15,1115.9842499803483,14,0.9333333333333333
2024-05,2,61.326998377874276,2,1.0
2024-06,11,-447.30119619523595,5,0.45454545454545453
2024-07,16,275.77871373614914,13,0.8125
2024-08,19,-1492.127075840273,3,0.15789473684210525
2024-09,358,-2288.887165592473,190,0.5307262569832403
2024-10,464,14270.707077065174,294,0.6336206896551724
2024-11,3996,36137.52651045758,2389,0.5978478478478478
2024-12,10733,54753.74845209848,5203,0.48476660765862295
2025-01,13982,21643.583042074475,7046,0.5039336289515091
2025-02,12158,54899.67344251448,5826,0.4791906563579536
2025-03,16614,-21349.31993183547,7585,0.456542674852534
2025-04,10588,49195.64249137695,5270,0.4977332829618436
2025-05,13877,137342.80695765786,7191,0.5181955754125531
2025-06,21655,209233.94425019668,11518,0.5318864003694297
2025-07,22586,97283.30431170651,11458,0.5073054104312406
2025-08,38634,134035.42802843347,19664,0.5089817259408811
2025-09,77454,133383.84145332835,38749,0.500284039558964
2025-10,218838,-162905.163885237,113055,0.5166150302963837
2025-11,378770,1278924.637433007,189827,0.5011669350793357
2025-12,466833,702884.3951796442,238236,0.5103238202954804
